"<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>"
"AFLT,D,20231009,000000,40.5800000,40.7900000,40.2900000,40.5600000,5630680"
"AFLT,D,20231010,000000,40.5600000,40.8400000,40.3800000,40.7400000,5883390"
"AFLT,D,20231011,000000,40.7100000,40.9600000,40.2200000,40.3600000,7265050"
"AFLT,D,20231012,000000,40.5000000,40.5400000,40.0300000,40.4000000,4325490"
"AFLT,D,20231013,000000,40.3600000,40.6500000,40.1600000,40.4500000,2863510"
"AFLT,D,20231016,000000,40.4400000,41.6800000,40.4100000,41.3400000,12439790"
"AFLT,D,20231017,000000,41.4100000,41.4800000,40.7500000,41.1300000,7440770"
"AFLT,D,20231018,000000,41.1000000,41.1600000,40.6300000,40.8300000,4648040"
"AFLT,D,20231019,000000,40.8300000,40.9600000,40.6400000,40.8800000,4607890"
"AFLT,D,20231020,000000,40.8900000,41.0300000,40.2800000,40.9300000,5831240"
"AFLT,D,20231023,000000,40.9400000,41.2500000,40.8600000,40.9400000,7236840"
"AFLT,D,20231024,000000,40.9400000,40.9400000,40.6600000,40.7900000,3450200"
"AFLT,D,20231025,000000,40.6800000,41.0900000,40.6600000,40.8700000,4659020"
"AFLT,D,20231026,000000,40.9100000,41.0100000,39.8100000,39.9800000,16591050"
"AFLT,D,20231027,000000,40.0800000,40.4400000,39.5700000,40.2600000,13001960"
"AFLT,D,20231030,000000,40.0700000,40.4000000,39.6900000,39.8900000,4785070"
"AFLT,D,20231031,000000,39.8100000,39.8900000,38.6000000,39.3500000,18842880"
"AFLT,D,20231101,000000,39.3700000,39.6300000,38.9000000,39.2500000,8485630"
"AFLT,D,20231102,000000,39.2800000,39.5500000,38.9600000,39.2500000,4291210"
"AFLT,D,20231103,000000,39.2500000,39.3000000,38.6500000,38.9700000,6116420"
"AFLT,D,20231106,000000,38.9800000,39.7300000,38.9700000,39.6400000,4904130"
"AFLT,D,20231107,000000,39.6400000,40.2200000,39.3800000,40.1000000,5847130"
"AFLT,D,20231108,000000,40.1400000,40.3000000,39.9000000,39.9300000,4298020"
"AFLT,D,20231109,000000,39.9500000,39.9800000,39.2200000,39.3900000,7790620"
"AFLT,D,20231110,000000,39.4000000,39.4000000,38.9500000,39.1900000,4623830"
"AFLT,D,20231113,000000,39.2100000,39.2500000,38.6500000,38.8000000,5682910"
"AFLT,D,20231114,000000,38.7000000,38.7400000,37.8000000,38.3800000,13919460"
"AFLT,D,20231115,000000,38.3700000,38.7700000,37.6800000,38.6800000,13121070"
"AFLT,D,20231116,000000,38.7300000,39.3600000,38.1500000,38.2800000,6381610"
"AFLT,D,20231117,000000,38.3000000,38.6500000,37.9100000,38.5400000,5895270"
"AFLT,D,20231120,000000,38.5400000,38.8500000,38.3600000,38.5700000,5178270"
"AFLT,D,20231121,000000,38.4300000,39.3000000,38.2600000,39.1100000,5953130"
"AFLT,D,20231122,000000,39.2500000,39.3000000,38.4700000,39.0100000,6221120"
"AFLT,D,20231123,000000,39.0000000,39.0000000,38.3300000,38.6700000,5375410"
"AFLT,D,20231124,000000,38.5500000,38.7400000,38.1600000,38.5100000,6770360"
"AFLT,D,20231127,000000,38.5200000,38.6600000,37.6000000,37.8200000,8358490"
"AFLT,D,20231128,000000,37.8200000,37.9400000,36.3400000,37.1500000,18981000"
"AFLT,D,20231129,000000,37.3000000,37.6500000,36.6000000,36.7200000,16486030"
"AFLT,D,20231130,000000,36.6800000,36.8100000,36.1100000,36.2900000,10750230"
"AFLT,D,20231201,000000,36.2700000,36.6300000,36.1900000,36.5100000,5142610"
"AFLT,D,20231204,000000,36.5700000,36.6000000,35.8000000,35.8000000,7366470"
"AFLT,D,20231205,000000,35.7700000,36.1100000,35.0600000,36.0600000,13984020"
"AFLT,D,20231206,000000,35.9600000,36.1100000,35.1800000,35.2400000,6460930"
"AFLT,D,20231207,000000,35.2400000,35.5300000,34.5500000,34.9400000,11068710"
"AFLT,D,20231208,000000,34.9300000,35.7800000,34.9300000,35.6600000,5799860"
"AFLT,D,20231211,000000,35.7300000,35.8000000,34.7500000,35.0900000,5534370"
"AFLT,D,20231212,000000,35.1000000,35.7000000,34.8600000,35.2900000,6117210"
"AFLT,D,20231213,000000,35.2800000,35.7600000,34.8600000,35.6800000,9174970"
"AFLT,D,20231214,000000,35.8100000,36.7900000,35.2200000,35.3400000,24511400"
"AFLT,D,20231215,000000,35.4600000,36.4900000,35.2400000,36.2800000,10358570"
"AFLT,D,20231218,000000,36.4200000,37.3600000,36.2100000,37.3000000,12504420"
"AFLT,D,20231219,000000,37.3100000,37.3300000,36.4100000,36.6600000,9384890"
"AFLT,D,20231220,000000,36.6700000,37.1800000,36.4600000,36.9400000,10270550"
"AFLT,D,20231221,000000,36.8100000,36.8900000,35.7600000,35.9300000,14779410"
"AFLT,D,20231222,000000,36.1000000,36.5700000,35.9200000,35.9700000,10119540"
"AFLT,D,20231225,000000,36.0300000,36.1400000,35.4100000,35.5600000,10520560"
"AFLT,D,20231226,000000,35.4900000,35.9000000,35.1100000,35.4700000,13620010"
"AFLT,D,20231227,000000,35.4500000,35.5300000,35.0000000,35.1100000,7581640"
"AFLT,D,20231228,000000,35.1000000,35.2200000,34.7100000,34.8700000,7901260"
"AFLT,D,20231229,000000,34.9200000,35.4000000,34.7000000,35.0500000,7750660"
"AFLT,D,20240103,000000,35.2100000,35.7800000,35.1200000,35.7500000,5718080"
"AFLT,D,20240104,000000,35.8200000,35.8200000,35.4600000,35.5700000,3524340"
"AFLT,D,20240105,000000,35.5900000,36.9700000,35.5400000,36.8500000,19735020"
"AFLT,D,20240108,000000,36.9000000,37.7500000,36.9000000,37.5000000,16766560"
"AFLT,D,20240109,000000,37.6000000,37.9400000,37.1800000,37.6900000,13100880"
"AFLT,D,20240110,000000,37.6900000,37.9400000,37.4000000,37.4500000,8089210"
"AFLT,D,20240111,000000,37.5000000,37.8300000,36.9700000,37.8000000,11777010"
"AFLT,D,20240112,000000,37.9500000,38.7800000,37.7800000,38.0100000,13270890"
"AFLT,D,20240115,000000,38.0500000,38.6300000,38.0500000,38.2000000,9192540"
"AFLT,D,20240116,000000,38.1900000,38.2100000,37.6200000,37.9700000,8319200"
